"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-personne-physique","ror-personne-physique","","","",0,*,"","","","null {[]} {[]}
","Personne physique dans le contexte ROR","Spécialisation ROR de la PersonnePhysique du MOS.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-personne-physique.situationFamiliale","ror-personne-physique.situationFamiliale","","","",0,1,"","","","Coding {[]} {[]}
","Situation familiale de la personne (célibataire, divorcée, etc.).Les valeurs de ce code sont répertoriées dans plusieurs nomenclatures notamment:- la liste de la Déclaration Automatisée des Données Sociales Unifiée (DADS-U):01: célibataire02: marié(e)03: divorcé(e)04: séparé(e)05: veuf, veuve06: vie maritale07: PACS90: non connueetc.- Liste de codes HL7 ""MaritalStatus"":A: Annulled, marriage contract has been declared null and to not have existedD: Divorced, marriage contract has been declared dissolved and inactiveI: Interlocutory, subject to an Interlocutory DecreeL: Legally separatedM: Married, a current marriage contract is activeP: Polygamous, more than 1 current spouseS: Never Married, no marriage contract has ever been enteredT: Domestic partner, person declares that a domestic partner relationship exists.U: Unmarried, currently not in a marriage contract.W: Widowed, the spouse has died","Situation familiale de la personne (célibataire, divorcée, etc.).Les valeurs de ce code sont répertoriées dans plusieurs nomenclatures notamment:- la liste de la Déclaration Automatisée des Données Sociales Unifiée (DADS-U):01: célibataire02: marié(e)03: divorcé(e)04: séparé(e)05: veuf, veuve06: vie maritale07: PACS90: non connueetc.- Liste de codes HL7 ""MaritalStatus"":A: Annulled, marriage contract has been declared null and to not have existedD: Divorced, marriage contract has been declared dissolved and inactiveI: Interlocutory, subject to an Interlocutory DecreeL: Legally separatedM: Married, a current marriage contract is activeP: Polygamous, more than 1 current spouseS: Never Married, no marriage contract has ever been enteredT: Domestic partner, person declares that a domestic partner relationship exists.U: Unmarried, currently not in a marriage contract.W: Widowed, the spouse has died","","","","","","","","","",,,,,"",,,,"PersonnePhysique.situationFamiliale",0,1,"",""
"ror-personne-physique.dateNaissance","ror-personne-physique.dateNaissance","","","",0,1,"","","","date {[]} {[]}
","Date de naissance de la personne.A noter que l'âge de la personne ne figure pas dans le MOS. Cette information peut être calculée à partir de la date de naissance.","Date de naissance de la personne.A noter que l'âge de la personne ne figure pas dans le MOS. Cette information peut être calculée à partir de la date de naissance.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.dateNaissance",0,1,"",""
"ror-personne-physique.dateDeces","ror-personne-physique.dateDeces","","","",0,1,"","","","date {[]} {[]}
","Date de décès de la personne.","Date de décès de la personne.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.dateDeces",0,1,"",""
"ror-personne-physique.communeNaissance","ror-personne-physique.communeNaissance","","","",0,1,"","","","Coding {[]} {[]}
","Commune de naissance de la personne.Code officiel géographique (COG) de la commune.","Commune de naissance de la personne.Code officiel géographique (COG) de la commune.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R13-CommuneOM/FHIR/TRE-R13-CommuneOM?vs","",,,,"PersonnePhysique.communeNaissance",0,1,"",""
"ror-personne-physique.departementNaissance","ror-personne-physique.departementNaissance","","","",0,1,"","","","Coding {[]} {[]}
","Département de naissance de la personne.Code officiel géographique (COG) du département.","Département de naissance de la personne.Code officiel géographique (COG) du département.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_G09-DepartementOM/FHIR/TRE-G09-DepartementOM?vs","",,,,"PersonnePhysique.departementNaissance",0,1,"",""
"ror-personne-physique.paysNaissance","ror-personne-physique.paysNaissance","","","",0,1,"","","","Coding {[]} {[]}
","Pays de naissance de la personne.Code officiel géographique (COG) du pays.","Pays de naissance de la personne.Code officiel géographique (COG) du pays.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/paysNaissance-vs|0.1.0-ballot","",,,,"PersonnePhysique.paysNaissance",0,1,"",""
"ror-personne-physique.lieuNaissance","ror-personne-physique.lieuNaissance","","","",0,1,"","","","Coding {[]} {[]}
","Lieu de naissance de la personne.Code officiel géographique (COG) de la commune (France) ou du pays.","Lieu de naissance de la personne.Code officiel géographique (COG) de la commune (France) ou du pays.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/lieuNaissance-vs|0.1.0-ballot","",,,,"PersonnePhysique.lieuNaissance",0,1,"",""
"ror-personne-physique.statutEtatCivil","ror-personne-physique.statutEtatCivil","","","",0,1,"","","","Coding {[]} {[]}
","Statut de la demande de certification auprès de l'organisme certificateur.","Statut de la demande de certification auprès de l'organisme certificateur.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R31-StatutEtatCivil/FHIR/TRE-R31-StatutEtatCivil?vs","",,,,"PersonnePhysique.statutEtatCivil",0,1,"",""
"ror-personne-physique.dateStatutEtatCivil","ror-personne-physique.dateStatutEtatCivil","","","",0,1,"","","","date {[]} {[]}
","Date de transmission du statut d’état civil de la personne par l’organisme certificateur d’état-civil.","Date de transmission du statut d’état civil de la personne par l’organisme certificateur d’état-civil.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.dateStatutEtatCivil",0,1,"",""
"ror-personne-physique.dateAcquisitionNatFR","ror-personne-physique.dateAcquisitionNatFR","","","",0,1,"","","","date {[]} {[]}
","Date d'acquisition de la nationalité française, renseignée uniquement si la nationalité actuelle est française et qu'elle n’a pas été acquise à la naissance.","Date d'acquisition de la nationalité française, renseignée uniquement si la nationalité actuelle est française et qu'elle n’a pas été acquise à la naissance.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.dateAcquisitionNatFR",0,1,"",""
"ror-personne-physique.paysNationalite","ror-personne-physique.paysNationalite","","","",0,1,"","","","Coding {[]} {[]}
","Pays de nationalité actuelle ou rattachement de la nationalité à un espace de pays conventionné.Attribut associé aux nomenclatures suivantes :**CodeSystem-TRE-R268-PaysProvenanceISO : provient de la norme ISO 3166-1 (code alpha-2) qui définit la représentation des noms de pays par un code à deux lettres**CodeSystem-TRE-R20-Pays : provient du code officiel géographique (COG)**CodeSystem-TRE-R89-RegroupementPays : espace de pays conventionné","Pays de nationalité actuelle ou rattachement de la nationalité à un espace de pays conventionné.Attribut associé aux nomenclatures suivantes :**CodeSystem-TRE-R268-PaysProvenanceISO : provient de la norme ISO 3166-1 (code alpha-2) qui définit la représentation des noms de pays par un code à deux lettres**CodeSystem-TRE-R20-Pays : provient du code officiel géographique (COG)**CodeSystem-TRE-R89-RegroupementPays : espace de pays conventionné","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/paysNationalite-vs|0.1.0-ballot","",,,,"PersonnePhysique.paysNationalite",0,1,"",""
"ror-personne-physique.paysResidence","ror-personne-physique.paysResidence","","","",0,1,"","","","Coding {[]} {[]}
","Pays où séjourne la personne de façon permanente.","Pays où séjourne la personne de façon permanente.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R20-Pays/FHIR/TRE-R20-Pays?vs","",,,,"PersonnePhysique.paysResidence",0,1,"",""
"ror-personne-physique.professionCategorieSocioProfessionnelle","ror-personne-physique.professionCategorieSocioProfessionnelle","","","",0,1,"","","","Coding {[]} {[]}
","Profession et catégorie socio-professionnelle de la personne (PCS). Ce code provient de la nomenclature des professions et catégories socioprofessionnelles (PCS) de l'INSEE.","Profession et catégorie socio-professionnelle de la personne (PCS). Ce code provient de la nomenclature des professions et catégories socioprofessionnelles (PCS) de l'INSEE.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/professionCategorieSocioProfessionnelle-vs|0.1.0-ballot","",,,,"PersonnePhysique.professionCategorieSocioProfessionnelle",0,1,"",""
"ror-personne-physique.causeMortalite","ror-personne-physique.causeMortalite","","","",0,1,"","","","Coding {[]} {[]}
","Une ou plusieurs causes ayant entraîné la mort de la personne. La liste des codes est en cours de constitution. Certains codes proviennent des niveaux 3 et 4 de la CIM 10, en cas de décès dû à une pathologie.","Une ou plusieurs causes ayant entraîné la mort de la personne. La liste des codes est en cours de constitution. Certains codes proviennent des niveaux 3 et 4 de la CIM 10, en cas de décès dû à une pathologie.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.causeMortalite",0,1,"",""
"ror-personne-physique.tailleCorporelle","ror-personne-physique.tailleCorporelle","","","",0,1,"","","","Quantity {[]} {[]}
","Taille du corps de la personne exprimée dans une unité de mesure (m, cm, etc.).Synonymes: grandeur corporelle, grandeur du corps, hauteur corporelle, hauteur du corps, longueur corporelle.","Taille du corps de la personne exprimée dans une unité de mesure (m, cm, etc.).Synonymes: grandeur corporelle, grandeur du corps, hauteur corporelle, hauteur du corps, longueur corporelle.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.tailleCorporelle",0,1,"",""
"ror-personne-physique.poidsCorporel","ror-personne-physique.poidsCorporel","","","",0,1,"","","","Quantity {[]} {[]}
","Masse du corps de la personne exprimée dans une unité de mesure (kg, g, etc.).","Masse du corps de la personne exprimée dans une unité de mesure (kg, g, etc.).","","","","","","","","","",,,,,"",,,,"PersonnePhysique.poidsCorporel",0,1,"",""
"ror-personne-physique.surfaceCorporelle","ror-personne-physique.surfaceCorporelle","","","",0,1,"","","","Quantity {[]} {[]}
","Surface du corps de la personne, c'est à dire la mesure en deux dimensions de la surface externe de la peau recouvrant le corps, exprimée dans une unité de mesure (par exemple, en m2).Calcul de la surface corporelle:** Calcul de la surface corporelle chez un adulte (>= à 40 Kg + taille renseignée) :La surface corporelle est calculée selon la formule suivante (Formule de BOYD) :SC = 0,0001 x (3,207) x (P0,7285-0,0188logP) x (T0,3) avec T en cm, P en grammes et Log le logarithme décimal.** Calcul de la surface corporelle chez un petit enfant (poids < 40 Kg):Il convient d'utiliser une formule adaptée au calcul de la surface corporelle chez le petit enfant car elle s'affranchit de la taille. La formule est à utiliser pour tous les enfants dont le poids est inférieur à 40 Kg.La surface corporelle est alors calculée selon la formule suivante :SC = (4 x P + 7) / (P + 90) avec P en Kg, le résultat SC est donné en m2.","Surface du corps de la personne, c'est à dire la mesure en deux dimensions de la surface externe de la peau recouvrant le corps, exprimée dans une unité de mesure (par exemple, en m2).Calcul de la surface corporelle:** Calcul de la surface corporelle chez un adulte (>= à 40 Kg + taille renseignée) :La surface corporelle est calculée selon la formule suivante (Formule de BOYD) :SC = 0,0001 x (3,207) x (P0,7285-0,0188logP) x (T0,3) avec T en cm, P en grammes et Log le logarithme décimal.** Calcul de la surface corporelle chez un petit enfant (poids < 40 Kg):Il convient d'utiliser une formule adaptée au calcul de la surface corporelle chez le petit enfant car elle s'affranchit de la taille. La formule est à utiliser pour tous les enfants dont le poids est inférieur à 40 Kg.La surface corporelle est alors calculée selon la formule suivante :SC = (4 x P + 7) / (P + 90) avec P en Kg, le résultat SC est donné en m2.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.surfaceCorporelle",0,1,"",""
"ror-personne-physique.indiceMasseCorporelle","ror-personne-physique.indiceMasseCorporelle","","","",0,1,"","","","Quantity {[]} {[]}
","Indice de masse corporelle (IMC).L'IMC résulte du calcul suivant: IMC = poids (kg) / taille (m)²L'affichage du résultat de l'IMC varie selon la valeur obtenue :** IMC < 18.5 : maigreur** 18.5 <= IMC <= 25 : corpulence normale** 25 < IMC <= 30 : surpoids** IMC > 30 : obésité","Indice de masse corporelle (IMC).L'IMC résulte du calcul suivant: IMC = poids (kg) / taille (m)²L'affichage du résultat de l'IMC varie selon la valeur obtenue :** IMC < 18.5 : maigreur** 18.5 <= IMC <= 25 : corpulence normale** 25 < IMC <= 30 : surpoids** IMC > 30 : obésité","","","","","","","","","",,,,,"",,,,"PersonnePhysique.indiceMasseCorporelle",0,1,"",""
"ror-personne-physique.Parent","ror-personne-physique.Parent","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Parent {[]} {[]}
","Lien vers la classe Parent","Lien vers la classe Parent","","","","","","","","","",,,,,"",,,,"PersonnePhysique.Parent",0,*,"",""
"ror-personne-physique.MesureProtection","ror-personne-physique.MesureProtection","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/MesureProtection {[]} {[]}
","Lien vers la classe MesureProtection","Lien vers la classe MesureProtection","","","","","","","","","",,,,,"",,,,"PersonnePhysique.MesureProtection",0,1,"",""
"ror-personne-physique.AidantDemarche","ror-personne-physique.AidantDemarche","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/AidantDemarche {[]} {[]}
","Lien vers la classe AidantDemarche","Lien vers la classe AidantDemarche","","","","","","","","","",,,,,"",,,,"PersonnePhysique.AidantDemarche",0,1,"",""
"ror-personne-physique.metadonnee","ror-personne-physique.metadonnee","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/test-ror/StructureDefinition/ror-metadonnee {[]} {[]}
","Informations relatives à la gestion des données de la personne physique dans le ROR.","Informations relatives à la gestion des données de la personne physique dans le ROR.","","","","","","","","","",,,,,"",,,,"ror-personne-physique.metadonnee",1,1,"",""
